h_np (nm),h_extrude (nm),lambda0 (nm),Total transmittance (1),Average 1 (W/m^3),Total reflectance and transmittance (1)
700,60,1550,0.48809613817950237,2.2950564460623965E13,0.9277057062887523
700,79.99999999999999,1550,0.4641210672398832,1.9890939990997086E13,0.9164581714724176
700,100,1550,0.4704425536924573,1.9740149017013305E13,0.8963639428883157
700,120,1550,0.49949138656177205,2.387575313203742E13,0.8495831297222276
700,140,1550,0.5665101065333148,2.972074554949184E13,0.7815532553239792
700,159.99999999999997,1550,0.4672136815170044,5.531884384291647E13,0.5353217101885354
700,180,1550,0.053269892904533024,4.535036096765018E13,0.5714391960996913
700,200,1550,0.03780007810395873,2.966993851308475E13,0.6884657261113891
700,219.99999999999997,1550,0.1289718225857321,1.7924075693394293E13,0.7929771691891623
700,240,1550,0.18196637254365003,1.7114414861729002E13,0.7843574972395578
700,259.99999999999994,1550,0.2172763955122629,2.0757784917145387E13,0.716656293902926
700,280,1550,0.2142529540014981,2.784596210167867E13,0.5906648534894021
700,300,1550,0.13761810108040964,3.293337677884165E13,0.4812997380194608
700,319.99999999999994,1550,0.052818622535159135,2.852754605767117E13,0.5207372112547163
700,340,1550,0.020389271836228462,2.2521687337233477E13,0.5979880645937359
700,360,1550,0.005252161630869835,2.1395690905796543E13,0.5956214885897614
700,379.99999999999994,1550,0.05775561475818428,3.072983542070831E13,0.3869398892248543
700,400,1550,0.300801303181472,3.084219712011157E13,0.35231313213840615
749.9999999999999,19.999999999999996,1550,0.7020072259828535,4.53506637294136E13,0.9489796974979888
749.9999999999999,39.99999999999999,1550,0.5320451450594016,2.990160720678757E13,0.932719694380264
749.9999999999999,60,1550,0.45523442905561046,2.2197068539310438E13,0.9250890923545569
749.9999999999999,79.99999999999999,1550,0.4276997139141167,1.8678635893549957E13,0.9159460950430645
749.9999999999999,100,1550,0.4304630462241736,1.8073104278855043E13,0.8983386259221752
749.9999999999999,120,1550,0.4574058468231311,1.8377676091963586E13,0.875950673837123
749.9999999999999,140,1550,0.5298973685981013,2.770200901632436E13,0.7818467782997542
749.9999999999999,159.99999999999997,1550,0.37602609551646454,5.733776544509038E13,0.4839609965847746
749.9999999999999,180,1550,0.03264416342501605,3.403984137927091E13,0.6553487996439489
749.9999999999999,200,1550,0.13707081340400212,2.417056119388012E13,0.7280802865191316
749.9999999999999,219.99999999999997,1550,0.236112516587211,1.9877759009365562E13,0.7540128551269274
